"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Cd28",7.90794206823566e-28,0.762243681654048,0.148,0.009,2.23043506034587e-23,5.28255521893591e-79,1.05362150093158,0.382,0.02,1.48994469950087e-74,4.3122396129932e-188,1.10175318529535,0.39,0.012,1.21626718284473e-183,7.90794206823566e-28,1.29367188389795e-187
"Nsg2",2.26865354667319e-22,0.858349927264076,0.141,0.011,6.39873732839172e-18,3.57443882910249e-59,0.905630966838516,0.321,0.021,1.00817047174836e-54,1.9126926844131e-182,0.867077874179862,0.312,0.005,5.39474971638715e-178,2.26865354667319e-22,5.73807805323945e-182
"S1pr1",1.00501588622958e-18,1.319302115366,0.203,0.033,2.83464730711052e-14,4.37173468612341e-91,1.46488045114675,0.55,0.044,1.23304776822111e-86,7.68866974804684e-176,1.42502131847983,0.649,0.063,2.16858930243661e-171,1.00501588622958e-18,2.30660092441408e-175
"Cd3e",3.52561758660828e-33,0.60534116948599,0.141,0.005,9.94400440302866e-29,1.25773169485879e-83,0.495446340894589,0.29,0.005,3.54743224534921e-79,2.15157084602919e-172,0.61407639083654,0.273,0.002,6.06850557122534e-168,3.52561758660828e-33,6.45471253808739e-172
"Cd247",4.17591245314942e-50,0.872220109572473,0.242,0.011,1.17781610741079e-45,9.42022165424079e-74,0.706510285753147,0.45,0.036,2.65697351757861e-69,3.63906156390552e-166,0.753127256282549,0.381,0.015,1.02639731409955e-161,4.17591245314942e-50,1.09171846917166e-165
"Rpl5",5.57264283699986e-58,1.37468686067192,0.68,0.133,1.57176391217581e-53,5.99820249427001e-70,0.951613037740424,0.725,0.134,1.69179301350886e-65,2.73148614828667e-159,1.34880496037489,0.788,0.129,7.70415668124255e-155,5.57264283699986e-58,8.19445844485981e-159
"Gm10073",7.06019576668134e-80,1.98784041244986,0.969,0.301,1.99132821599247e-75,5.2634535755225e-79,1.64337659908611,0.939,0.302,1.48455708097612e-74,1.07868928201484e-158,2.12952852393527,0.987,0.334,3.04244311992285e-154,5.2634535755225e-79,3.23606784604458e-158
"Rpl36a-ps2",1.2191683123121e-41,0.946538976600188,0.492,0.089,3.43866422487627e-37,3.85843636086309e-54,0.648251203051623,0.527,0.081,1.08827197558143e-49,3.27802540228095e-158,1.16065639874204,0.74,0.107,9.24567064713341e-154,1.2191683123121e-41,9.83407620684296e-158
"Rps18",5.98835094791011e-79,2.32290875227442,1,0.335,1.68901438485805e-74,2.33062213464357e-80,2.44612905188019,1,0.384,6.5735197307622e-76,5.58517598239494e-156,2.48843866480922,1,0.36,1.57529888583449e-151,5.98835094791011e-79,1.67555279471852e-155
"Tmsb10",1.6345451936157e-81,2.20252791997794,0.977,0.288,4.61023471859307e-77,1.11224964636428e-81,1.92885680190127,0.977,0.3,3.13710012757046e-77,6.48618246154563e-156,1.97175966753126,0.987,0.278,1.82942776327894e-151,1.6345451936157e-81,1.94585473846368e-155
"Rplp0",1.25331087284657e-72,1.81589842773373,0.969,0.31,3.53496331686375e-68,5.5540043055156e-81,1.77460764124839,0.985,0.35,1.56650691437068e-76,1.06543258022092e-152,1.96708929485225,0.978,0.322,3.00505259251309e-148,1.25331087284657e-72,3.1962977406628e-152
"Gm9844",1.59156455310533e-80,1.79024195650229,0.922,0.217,4.48900782203358e-76,3.29249725915626e-77,1.5192258366927,0.924,0.246,9.28648851945024e-73,2.16641807003478e-152,1.57954543498287,0.922,0.214,6.1103821665331e-148,3.29249725915626e-77,6.49925421010432e-152
"Bcl11b",2.38846185302636e-67,1.3739297727081,0.281,0.009,6.73665665646085e-63,1.69409002841898e-58,1.22849628089832,0.397,0.038,4.77818092515573e-54,2.16857255251323e-152,1.36386328270524,0.429,0.028,6.11645888436356e-148,1.69409002841898e-58,6.50571765753985e-152
"Dapl1",7.39789514713097e-43,0.442435656553706,0.148,0.002,2.08657632624829e-38,1.39220801699908e-66,0.561804707612359,0.214,0.002,3.92672271194591e-62,1.28461120358079e-149,0.5360632193852,0.208,0,3.6232458996996e-145,7.39789514713097e-43,3.85383361074237e-149
