"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Chp1",0.0882642783245472,-0.48370379093942,0,0.105,1,1.1933835480131e-05,-0.60140016574481,0.092,0.325,0.336593829717095,5.58297743145356e-07,-0.518802587693761,0.085,0.291,0.0157467878454148,0.0882642783245472,1.67489229434713e-06
"Map4k2",0.043804989910129,-0.44787270475955,0,0.141,1,5.74742164394285e-07,-0.593334510316992,0.034,0.282,0.0162106027467408,3.4883411170609e-06,-0.421827694016945,0.059,0.252,0.0983886612067026,0.043804989910129,1.72422550219738e-06
"Abracl",0.00263251858682307,0.52124523309314,0.2,0.057,1,1.55636967124733e-05,0.391852492664434,0.23,0.092,0.438974065775309,5.75374554976674e-07,0.35194492553798,0.271,0.121,0.0162284393231171,0.00263251858682307,1.72612267176258e-06
"Psmb1",0.0222522036702163,0.52522015736514,0.24,0.105,1,0.000514402255257279,0.331055405685357,0.299,0.17,1,6.38154333972278e-07,0.326064784344646,0.322,0.158,0.0179991429896881,0.0222522036702163,1.91446178019423e-06
"Lilra6",0.076457484064197,-0.38312168111213,0,0.112,1,9.3124058632417e-06,-0.399981861862294,0,0.188,0.262656407372732,6.77298692098415e-07,-0.408576424461024,0,0.176,0.0191032096106358,0.076457484064197,2.031894700095e-06
"Saraf",0.171476400125912,0.349362463010901,0.12,0.057,1,0.000114589684728764,0.512736485185258,0.264,0.132,1,6.83827901629585e-07,0.314604753079608,0.246,0.103,0.0192873659654624,0.171476400125912,2.05148230202728e-06
"Gata3",0.0831118409825359,0.81764326563873,0.2,0.1,1,0.0174431120898836,0.332315422351109,0.207,0.134,1,6.84827425717141e-07,0.442413641277676,0.178,0.065,0.019315557542352,0.0831118409825359,2.05448087018593e-06
"Pfkfb4",0.0579612333295635,-0.350245973831066,0,0.127,1,1.36720851341868e-05,-0.320384680349673,0.011,0.199,0.385621161209738,7.90358350853219e-07,-0.347616361548403,0,0.174,0.022292057285815,0.0579612333295635,2.37107317856118e-06
"RP23-27H19.7",0.0444521828915369,-0.555577205794713,0.08,0.271,1,7.91518004886866e-07,-0.616992338110347,0.172,0.459,0.022324765327834,0.00615990607542803,-0.284154452124777,0.212,0.331,1,0.0444521828915369,2.37455213515883e-06
"Slc11a1",0.0959462174364148,-0.351019962895302,0.08,0.225,1,1.91538101776145e-05,-0.500911368468609,0.126,0.338,0.540233216059617,8.22064440280605e-07,-0.419162703337543,0.042,0.239,0.0231863275381145,0.0959462174364148,2.46619129347254e-06
"Ptafr",0.0579612338673924,-0.590436555715452,0,0.127,1,3.11445681333834e-05,-0.487530097727477,0.011,0.187,0.878432544202078,1.11314457393643e-06,-0.490984798533521,0.025,0.21,0.031396242707877,0.0579612338673924,3.33943000453813e-06
"Atp5a1",0.00550361033332664,0.608124529723092,0.28,0.107,1,0.276804030312444,0.252387056589858,0.218,0.177,1,1.13957378031331e-06,0.478712652092672,0.364,0.192,0.0321416784737368,0.276804030312444,3.41871744505619e-06
"Rara",0.00393694045235723,-0.996581646974626,0,0.256,1,0.000268559461302381,-0.42823330706241,0.08,0.257,1,1.14387214223778e-06,-0.492660805588982,0.076,0.284,0.0322629137718165,0.00393694045235723,3.43161250138439e-06
"Adat1",0.150630411383924,-0.354931228875992,0.12,0.24,1,1.19581141240352e-05,-0.392896101734148,0.138,0.377,0.337278608868413,1.24203512916965e-06,-0.428767627859521,0.102,0.313,0.03503160081823,0.150630411383924,3.72610075955708e-06
"Rpl26",0.0435230784989765,0.467273924019565,0.48,0.341,1,2.47778172999791e-06,0.297677411223079,0.621,0.387,0.069885833694591,1.41058930282597e-06,0.29291631597074,0.449,0.248,0.0397856712862065,0.0435230784989765,4.23176193919417e-06
