"gene","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj"
"Cnst",6.18224403502404e-11,0.424070990857876,0.375,0.022,1.74370193007853e-06
"1600015I10Rik",7.48830954854452e-11,0.582300082355729,0.25,0.01,2.11207770816698e-06
"Cebpa",7.52503887086988e-11,1.34901586883646,0.625,0.067,2.12243721352885e-06
"Spn",1.09777175127164e-10,0.922940892657698,0.75,0.086,3.09626522446165e-06
"Nsun7",1.12817266527559e-10,0.294959288553919,0.125,0.003,3.1820110024098e-06
"Tagap1",2.25141125300597e-10,0.636377023938148,0.375,0.024,6.35010543910333e-06
"Gadd45gip1",3.72449372932086e-10,0.272482052235286,0.25,0.011,1.05049345635495e-05
"Csf2rb2",4.02416539806772e-10,1.56971103890033,0.75,0.107,1.135015850525e-05
"Il1rl1",7.76561942433751e-10,1.26274492820272,0.5,0.046,2.1902929586344e-05
"4933415A04Rik",8.42273164429187e-10,0.450505305383199,0.125,0.003,2.37563146027252e-05
"Cd226",8.42273164429187e-10,0.281277377436863,0.125,0.003,2.37563146027252e-05
"Rce1",8.43510135416497e-10,0.354179975997304,0.25,0.012,2.37912033694223e-05
"Dusp23",1.04190266988258e-09,0.300781288654978,0.25,0.012,2.93868648040382e-05
"Atp10a",1.18501032908107e-09,0.309582246401559,0.25,0.012,3.34232163317316e-05
"Cracr2b",1.4413127861653e-09,0.58820448664401,0.5,0.046,4.06522271337923e-05
"Atp2a3",1.54248773862412e-09,0.458635822020226,0.375,0.026,4.35058666678934e-05
"Ifitm1",1.87240898924039e-09,2.85998158484603,1,0.28,5.28112955415251e-05
"S100a10",2.38671983435502e-09,1.51921786545639,0.875,0.143,6.73174329279833e-05
"Slc6a4",2.38741649572441e-09,0.516212384798746,0.25,0.012,6.73370822619071e-05
"Cd63-ps",3.27700813751562e-09,1.2361021959795,0.625,0.074,9.24280145186282e-05
"Sh2b1",3.82415032509655e-09,0.551706176575912,0.375,0.028,0.000107860159919348
"Eps8l1",4.46548721704629e-09,0.258911561594876,0.25,0.012,0.000125949066956791
"Fhl2",4.51439165158027e-09,0.657015828956765,0.125,0.003,0.000127328416532822
"Lamp2",5.98302620187174e-09,2.36685548560013,1,0.296,0.000168751254023792
"Gpr183",7.07497113049133e-09,0.865298673361703,0.5,0.051,0.000199549560735508
"Ahctf1",7.25824873989547e-09,0.631240052075747,0.375,0.028,0.000204718905708752
"Itgb1",7.39397272332286e-09,1.12035099064469,0.75,0.108,0.000208547000661321
"Sept8",8.36554947063629e-09,0.312481834604175,0.25,0.013,0.000235950322819297
"Ocrl",8.63268047441025e-09,0.329453891127453,0.25,0.013,0.000243484752780741
"Pik3cg",1.00059969065149e-08,0.836715919582833,0.625,0.078,0.000282219142748252
"Tshz1",1.10058273264074e-08,1.17759521692417,0.375,0.03,0.000310419359741322
"Osbpl5",1.10623839263388e-08,0.803744250866522,0.375,0.03,0.000312014538642387
"Atp1b1",1.44414698143956e-08,0.312084139568878,0.375,0.028,0.000407321656115028
"Glb1",1.83968071905291e-08,0.388130882023141,0.25,0.014,0.000518881946808873
"Arl2",1.87457605602104e-08,0.447946956946252,0.125,0.003,0.000528724176600736
"Gm5190",1.87457605602104e-08,0.449046080892614,0.125,0.003,0.000528724176600736
"Muc13",1.87457605602104e-08,0.448954371714402,0.125,0.003,0.000528724176600736
"Edn1",1.91125703615651e-08,0.447612974663309,0.125,0.003,0.000539070047047944
"Pyurf",2.06179289684609e-08,0.474436101977037,0.25,0.014,0.000581528686555439
"Csf1",2.08723000625319e-08,1.95510963546099,0.625,0.084,0.000588703223263711
"Def8",4.65231400141003e-08,0.381072612382569,0.25,0.015,0.0013121851640977
"Hyal1",5.36209998380165e-08,0.267984030668388,0.25,0.015,0.00151238030043125
"P2ry1",5.45400015029246e-08,0.565261002535828,0.375,0.033,0.00153830074238999
"Vcp-rs",5.60968411424764e-08,0.306099650275444,0.375,0.031,0.00158221140442355
"Vangl1",6.42912024783567e-08,0.492401569571642,0.25,0.015,0.00181333336590205
"Lrrd1",6.72138730213754e-08,0.508301464930334,0.125,0.004,0.00189576728856789
"Syce2",6.8432747866217e-08,0.291606215486004,0.125,0.004,0.00193014565356665
"Asph",7.01502397263447e-08,0.974709675675635,0.5,0.056,0.00197858751148155
"Hdac7",7.90436343403764e-08,0.794873023108884,0.375,0.034,0.00222942570657032
"Cep250",8.44690867580787e-08,0.386010188843761,0.375,0.032,0.00238245059201161
"Klhl6",9.23281195253346e-08,0.762787846559888,0.375,0.034,0.00260411461121206
"Ss18",9.27925511642272e-08,0.783273979987247,0.625,0.084,0.00261721390558703
"Myo1d",1.01553386709479e-07,0.584079858780576,0.375,0.033,0.00286431327214085
"Clint1",1.04778582808151e-07,1.40022033469577,0.75,0.131,0.00295527992810391
"Tagln2",1.08478380011369e-07,2.03037053366321,0.875,0.19,0.00305963270822065
"Syne2",1.21807539499891e-07,0.346150086342926,0.25,0.015,0.00343558165159442
"Dusp5",1.30976022063447e-07,1.62840374149588,0.875,0.188,0.00369417870229953
"Itm2c",1.65258084820669e-07,0.882183507624986,0.625,0.09,0.00466110428236697
"Ercc4",1.84204859299477e-07,0.747189020191839,0.125,0.004,0.00519549805654176
"Jrk",1.90500938213837e-07,0.291128921671404,0.125,0.004,0.00537307896232128
"Myl9",1.90500938213837e-07,0.292028086130953,0.125,0.004,0.00537307896232128
"Grm6",1.93726486240334e-07,0.290775330429192,0.125,0.004,0.00546405554440863
"Gaa",2.11455673171929e-07,0.389693080476172,0.25,0.016,0.00596410726181426
"Gm13615",2.54489825778648e-07,0.293519706883727,0.25,0.016,0.00717788553608676
"Nck2",2.59980594512116e-07,0.307186795604687,0.25,0.016,0.00733275266821423
"Itgb6",2.6781133257274e-07,0.489221440390425,0.25,0.016,0.00755361863521412
"Pgm2",2.8180515937719e-07,0.490112376137745,0.25,0.016,0.00794831452023366
"Esyt1",3.62686546550551e-07,1.44880326627131,0.625,0.1,0.0102295740454583
"Eif3i",3.85639922152474e-07,0.608267856474174,0.5,0.062,0.0108769740043105
"Serpinb1c",4.09468397015003e-07,0.990018435635456,0.25,0.017,0.0115490561378082
"Atxn7",4.31048766925501e-07,1.05011377726954,0.5,0.063,0.0121577304711338
"Ado",4.51915451834004e-07,0.390252155548011,0.25,0.017,0.0127462753189781
"Qrfp",4.67501668251861e-07,0.361442639123433,0.125,0.004,0.0131858845530437
"Lrrc1",4.74930188635516e-07,0.279943678197528,0.125,0.004,0.0133954059704647
"Ifitm5",5.38598124475812e-07,0.274244269439464,0.125,0.004,0.0151911601008403
"Spry2",5.54398709168528e-07,0.335485092453872,0.25,0.017,0.0156368155920983
"Rnf41",5.69898335513861e-07,0.419379025762471,0.375,0.036,0.0160739825531684
"Hip1r",6.19427495652054e-07,0.502875766258052,0.5,0.061,0.0174709525148662
"Ddit4",6.46648393528312e-07,1.91541082020481,0.5,0.071,0.018238717939466
"Rbfa",6.61472856105933e-07,0.666258166548503,0.5,0.066,0.0186568419064678
"Dock10",7.32808820071512e-07,0.821052234816533,0.5,0.067,0.020668872770117
"Os9",8.20490654497169e-07,0.908726016140237,0.75,0.13,0.0231419389100927
"Itpr3",8.34683917742479e-07,0.274144573275781,0.25,0.017,0.0235422598999266
"Zfp11",8.92469765500789e-07,0.39280379675162,0.25,0.018,0.0251721097359497
"Tnfaip3",9.40865103926152e-07,2.43835386961752,0.75,0.163,0.0265371002562371
"Aktip",9.49689440308164e-07,0.268478249054039,0.25,0.017,0.0267859906638918
"Plac8",9.63663169041527e-07,1.07276942616112,0.75,0.137,0.0271801196828163
"Ube2l6",9.9137113139938e-07,0.517829476519148,0.375,0.039,0.0279616227611195
"Rpl38",9.9695312991454e-07,1.27620151243309,1,0.27,0.0281190630292396
"S1pr4",1.01620095010639e-06,0.955615749498398,0.375,0.039,0.0286619477977509
"Gm13688",1.06520867399092e-06,0.448687609914269,0.125,0.005,0.030044210649914
"Gm6430",1.06520867399092e-06,0.447428066234461,0.125,0.005,0.030044210649914
"Bmp7",1.09729651248048e-06,0.279834989149482,0.125,0.005,0.030949248134512
"Gm6142",1.40669067374488e-06,0.499520054690748,0.25,0.019,0.0396757104529743
"Ahdc1",1.67094500242875e-06,0.418616782894852,0.25,0.019,0.047129003793503
"Gp49a",1.67198523367342e-06,1.91721865681087,1,0.504,0.0471583435157588
"Slc6a8",1.8577802662565e-06,0.253161785187008,0.25,0.018,0.0523986924097646
"Nxpe4",1.89628175075966e-06,0.559232418031642,0.25,0.019,0.0534846267801763
"Blm",2.24961161258817e-06,0.443664616194642,0.125,0.005,0.0634502955330494
"Phxr2",2.24961161258817e-06,0.290956118347702,0.125,0.005,0.0634502955330494
"Phf23",2.36914261698192e-06,0.919881968010236,0.5,0.071,0.0668216675119752
"Sub1",2.3744996818003e-06,1.37886915545825,0.875,0.247,0.0669727635251774
"Ccdc166",2.41273801744956e-06,0.288104704741993,0.125,0.005,0.0680512757821648
"Itgav",2.58613346794631e-06,0.491505088175479,0.375,0.04,0.0729418944634258
"Olfr613",3.21776033547075e-06,0.464386157512546,0.375,0.042,0.0907569302619525
"Rps23-ps1",3.31252445652963e-06,1.25203555764667,1,0.333,0.0934297522964181
"Tec",3.54334498761271e-06,0.843000954168426,0.375,0.044,0.0999400453756164
"Gfpt1",3.78936287248717e-06,0.67138568849053,0.375,0.043,0.106878979818501
"Fyn",3.87077314693442e-06,0.352795587808557,0.5,0.067,0.109175156609285
"Cav2",4.45624393384133e-06,0.292389574659236,0.125,0.005,0.125688360153995
"Cks2",4.82260264943105e-06,1.24452275335179,0.625,0.124,0.136021507727203
"Cdyl2",4.86391311985026e-06,0.287148609937618,0.25,0.02,0.137186669545377
"Golm1",4.91906818966154e-06,0.847432396815949,0.25,0.02,0.138742318289404
"Nfkbia",5.13271361862709e-06,2.08916484919183,1,0.611,0.144768187613377
"Tusc1",5.26159495396859e-06,0.881701368909646,0.25,0.021,0.148403285676684
"Supt3",6.10070673024047e-06,0.631957124666352,0.25,0.021,0.172070433326432
"Tbc1d2b",6.12071808696214e-06,0.53842839974938,0.5,0.071,0.172634853642767
"Eml2",6.38676408821683e-06,0.381412535837477,0.375,0.043,0.180138681108156
"Ing3",6.57027747602476e-06,0.868089998724224,0.5,0.077,0.185314676211278
"Garnl3",6.62809224720472e-06,0.36691921042399,0.5,0.069,0.186945341832409
"Gm15549",7.74957685710072e-06,0.447063843025335,0.125,0.006,0.218576815254526
"Aqp9",8.36410821039228e-06,0.826431283045428,0.75,0.151,0.235909672074114
"Pim3",8.61154675564573e-06,0.684224948329172,0.375,0.046,0.242888676242988
"Rbm25",9.11414009667128e-06,0.814063537557284,0.625,0.123,0.257064321426613
"Itga2b",9.16722092579884e-06,0.666862947667083,0.625,0.119,0.258561466212156
"Eef2k",9.24375214649767e-06,0.589606731926861,0.5,0.074,0.260720029291967
"Lilrb4",9.79516550439276e-06,1.47175973542695,1,0.508,0.276272643051398
"H3f3b",1.07835917587848e-05,1.95132317202789,1,0.851,0.304151205556525
"Furin",1.14686582053334e-05,0.926604219105286,0.75,0.18,0.32347350468143
"Adi1",1.30953340864997e-05,0.564449063886991,0.375,0.046,0.369353897909724
"Det1",1.32691601919463e-05,0.531969647141364,0.125,0.006,0.374256663213846
"Gm16399",1.32691601919463e-05,0.446937455833844,0.125,0.006,0.374256663213846
"Zfp712",1.49616010286715e-05,0.283059394599771,0.125,0.006,0.421991957013681
"Gm9493",1.54896583557524e-05,0.77303762639259,0.75,0.169,0.436885813923997
"Gstm1",1.55561015760038e-05,1.99336360385331,0.375,0.051,0.438759844951187
"Ifitm7",1.57105752576087e-05,0.386056670130749,0.375,0.046,0.443116775140853
"Rps23-ps2",1.71986817522537e-05,0.770672894333923,0.75,0.167,0.485088818822315
"Dctn6",1.90835283573337e-05,0.324117017522874,0.375,0.046,0.538250917318598
"Maml3",1.97306186749485e-05,0.482315858561557,0.25,0.023,0.556502099726922
"Gm14740",2.01911916429647e-05,0.289257783476935,0.25,0.022,0.56949256028982
"Nhlrc2",2.0459124729899e-05,0.373788285715746,0.25,0.023,0.577049613006801
"Git2",2.04663763822012e-05,1.14396800571594,0.625,0.124,0.577254145859986
"Nt5c3",2.07585857746953e-05,0.690757030353594,0.375,0.049,0.58549591177528
"Iqgap2",2.15176654072162e-05,0.409291398824915,0.375,0.047,0.606905752810533
"Cd63",2.15674819957097e-05,1.66053300107007,0.625,0.147,0.608310829688991
"Dhrs13",2.16578026235355e-05,0.28999871578766,0.125,0.006,0.610858322996818
"Trio",2.3369276518974e-05,0.366826273249026,0.25,0.023,0.659130444217662
"Scd4",2.3758737072093e-05,0.387813470588286,0.25,0.023,0.670115179118384
"Zfp943",2.47732198047071e-05,0.545065627625506,0.25,0.023,0.698728664591764
"Sncb",2.70020752199463e-05,0.613419765693119,0.5,0.086,0.761593531578584
"Il7r",3.01901754949237e-05,0.465647357974146,0.375,0.048,0.851513899834322
"Gm12355",3.18314082955788e-05,0.700740344899746,0.625,0.125,0.8978048709768
"Gm15031",3.39065082619003e-05,0.445881727200443,0.125,0.006,0.956333065526897
"8430419L09Rik",3.46602156913173e-05,0.28269028668985,0.125,0.006,0.977591383573604
"Armcx2",3.62156276216772e-05,0.324558112448353,0.125,0.006,1
"Tagap",3.76399133631101e-05,1.06408629398845,0.375,0.055,1
"Nedd9",4.0420698471836e-05,0.674265624425672,0.75,0.173,1
"Csf2rb",4.2162553060997e-05,1.52773370262358,0.875,0.29,1
"Snap29",4.3186432617827e-05,0.482162880042701,0.25,0.025,1
"Cry2",4.50176244850868e-05,0.296274275586403,0.25,0.024,1
"Rab29",5.02158940230699e-05,0.460715379401171,0.25,0.025,1
"Ptpn3",5.11793394326326e-05,0.442899542509822,0.125,0.007,1
"Th",5.11793394326326e-05,0.442367866859571,0.125,0.007,1
"Zbbx",5.17216884568988e-05,0.287999688975593,0.125,0.007,1
"Gm10689",5.321120490234e-05,0.493269457771583,0.625,0.124,1
"Tex264",5.42749909446291e-05,0.788625622942092,0.25,0.025,1
"Man2b1",5.65701322827049e-05,1.11792277094614,0.875,0.297,1
"Bri3bp",6.07039572739195e-05,0.878572310631701,0.5,0.093,1
"Ufc1",6.76999985906569e-05,0.267150653314054,0.375,0.051,1
"Sept11",7.45228861678606e-05,0.610577811463235,0.375,0.055,1
"Tyro3",7.48060318420264e-05,0.444022779424178,0.125,0.007,1
"Rit1",7.51633398985181e-05,0.819544269124768,0.375,0.056,1
"Pds5b",7.69153288797745e-05,0.44706562436607,0.25,0.026,1
"Nupl1",8.35918258571322e-05,0.416341558927082,0.125,0.007,1
"Rbm15b",9.41308236339341e-05,0.874658515518136,0.25,0.027,1
"Brd3",0.000103581661998354,0.584188088298878,0.375,0.057,1
"Top3b",0.000104430882002805,0.407768878529157,0.25,0.027,1
"Ero1l",0.000106144018771205,0.30780069575944,0.25,0.026,1
"Alg14",0.000106269131038889,0.534467900941306,0.125,0.007,1
"Lin28b",0.000106269131038889,0.441081553559356,0.125,0.007,1
"Pfkm",0.000106269131038889,0.442188494735642,0.125,0.007,1
"B3glct",0.000108358299329033,0.440375573182014,0.125,0.007,1
"Clcf1",0.000109417357560322,0.397788525311232,0.125,0.007,1
"Prpf4b",0.000146587088885362,0.291151856878546,0.25,0.027,1
"Zcchc10",0.000148337069429927,0.52517554197587,0.25,0.028,1
"Fst",0.000149973054068926,0.285310178389481,0.125,0.008,1
"Zfp9",0.00015044434218564,0.276097838845624,0.375,0.055,1
"Osm",0.000151247050088373,1.79094598523452,1,0.459,1
"Ndufs3",0.000154907311736915,0.260038195020819,0.25,0.027,1
"Itpripl2",0.000163515277210936,0.694690186795592,0.375,0.062,1
"Pecam1",0.000172486594759992,0.835380718929997,0.375,0.057,1
"Nucb1",0.000176780080317009,0.893958494754603,0.5,0.1,1
"Tor1b",0.000180786672939733,0.397812506504159,0.25,0.029,1
"Rnf130",0.000182637802595094,0.842701596863078,0.875,0.311,1
"Gm7803",0.000199292083058296,0.442565972264438,0.125,0.008,1
"Shc2",0.000200354291989159,0.297083992893025,0.375,0.057,1
"Ubxn2a",0.000204886386871202,0.506239889688432,0.375,0.06,1
"Mpc2",0.000205023538770762,0.865223176682477,0.5,0.102,1
"Slc35a2",0.000214881003495822,0.906514032212961,0.25,0.03,1
"Runx1",0.000235990652286311,0.632900822327988,0.5,0.104,1
"Ier2",0.000239236897939422,1.42206220765226,1,0.614,1
"Tulp3",0.000264410960726215,0.379554764821283,0.125,0.008,1
"Rab19",0.000281060475709359,0.270415523275528,0.125,0.008,1
"Klhl18",0.000281651429963964,0.359638697707678,0.25,0.03,1
"Pdia3",0.000287399653943728,0.448915793797464,0.5,0.1,1
"Cblb",0.000293183122108976,0.671282202173079,0.25,0.031,1
"Ccl6",0.000296829785724975,1.41636595857523,1,0.691,1
"Med30",0.000298493792618757,0.587780763069752,0.5,0.099,1
"Gm6169",0.00030630139791769,1.39931291138664,1,0.42,1
"Acss1",0.00031029471318707,0.408511432851492,0.25,0.03,1
"Rgs1",0.00031785260564057,1.17377859327763,0.375,0.066,1
"Plp2",0.000328213620727785,1.33686970073863,1,0.438,1
"Mfsd5",0.000328311739830568,0.510726596996933,0.375,0.062,1
"Gm4950",0.000352071464813663,0.343402262776984,0.375,0.061,1
"Rplp1",0.000354693983486394,0.935067449956388,1,0.497,1
"Eaf2",0.000355753907528971,0.919820438523769,0.625,0.179,1
"Klf5",0.000362324850863867,0.278739105219247,0.125,0.008,1
"Mbnl1",0.000364905619931544,1.45475335286397,0.75,0.242,1
"Snx17",0.00036671146478022,0.277198300333728,0.375,0.06,1
"Ddrgk1",0.000368382471684443,0.38704361767912,0.25,0.031,1
"Cd52",0.000371707658608872,-1.97091858916303,0.25,0.878,1
"Nup50",0.000379962601024199,0.346620508142377,0.25,0.03,1
"Far1",0.000409019607495176,0.81210648399015,0.75,0.223,1
"Nr2c2",0.000417604602794495,0.3688043024877,0.375,0.062,1
"Msrb1",0.000431318410294539,-2.33763141268015,0,0.711,1
"Fbxo9",0.000442458963647047,0.443886917021275,0.25,0.031,1
"Cdkn2c",0.00044493882306605,0.737120442575065,0.125,0.009,1
"Gm14633",0.000445089270564204,0.721838307286139,0.5,0.118,1
"Gm13827",0.000445231429669799,0.642066762862325,0.75,0.213,1
"Rgs18",0.000451087037814244,0.942360133133581,0.375,0.07,1
"Aldoa",0.000452727648821489,1.0174325393688,0.75,0.231,1
"F2r",0.000467274958752656,0.40470127552832,0.125,0.009,1
"Gab3",0.000473016864973437,0.456014917183244,0.25,0.032,1
