"gene","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Rpl41",0.00470514100556061,0.278517504010182,0.934,0.954,1,0.000227681714969022,0.302828965346886,0.93,0.874,1,5.45143378390703e-10,0.316304510912092,0.923,0.931,1.53757689875098e-05,0.00470514100556061,1.63543013428056e-09
"mt-Nd5",0.141660984853698,0.330449048122924,0.658,0.677,1,0.000163316152908772,-0.865235118769496,0.134,0.23,1,5.42450525946118e-08,-0.273453027878021,0.817,0.915,0.00152998170843103,0.141660984853698,1.62735148956258e-07
"Gm10076",0.00296694903770877,0.310460720171544,0.887,0.922,1,0.000811415419258078,0.299100941190565,0.875,0.797,1,1.24496202101928e-06,0.262673555149482,0.9,0.907,0.0351141538028489,0.00296694903770877,3.73488141326848e-06
"Stk17b",0.507723920830098,0.251280878177524,0.608,0.668,1,0.00125432306402672,-0.48521445311639,0.188,0.276,1,1.97616270833775e-06,-0.270509009465145,0.656,0.774,0.0557376691886662,0.507723920830098,5.92847640936381e-06
"Gm11407",0.137744638916315,0.367723236796181,0.403,0.378,1,8.18160120950804e-06,-0.631673116955117,0.047,0.13,0.230762062114174,8.73274594834353e-06,-0.307231198042031,0.54,0.625,0.246307099473029,0.137744638916315,2.45446028132767e-05
"Spcs2",0.232066802326141,-0.407519210527281,0.134,0.166,1,0.128618849543702,-0.333177846522498,0.078,0.107,1,0.0243974315126472,-0.251756092282388,0.148,0.191,1,0.232066802326141,0.0714211127416576
