"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"mt-Cytb",1.24599780093843e-69,2.23326654675517,0.701,0.212,3.51433679754684e-65,3.72477966828188e-97,2.24033716298197,0.982,0.411,1.05057410543891e-92,2.12115384526211e-219,2.34573837851235,0.993,0.457,5.98271442056177e-215,1.24599780093843e-69,6.36346153578631e-219
"mt-Nd5",2.8918552588945e-19,1.35599475671649,0.23,0.063,8.15647775771193e-15,1.49985042039923e-63,1.63288645848585,0.677,0.179,4.23032811073602e-59,3.13007766614273e-217,2.08392756815591,0.915,0.243,8.82838405735557e-213,2.8918552588945e-19,9.39023299842815e-217
"mt-Co2",1.48779100570661e-105,2.28267525793128,0.981,0.425,4.19631453159549e-101,4.70523019005149e-100,2.25047533917579,1,0.543,1.32711017510402e-95,1.04774034757003e-214,2.30015977906015,1,0.57,2.95515165032127e-210,4.70523019005149e-100,3.14322104271006e-214
"mt-Co1",1.35929546544018e-107,2.19581628741201,0.923,0.315,3.83389286027403e-103,5.28804959716624e-101,2.16984426901617,1,0.586,1.49149438888074e-96,2.4173283936399e-214,2.28097476436124,0.998,0.598,6.81807473426133e-210,5.28804959716624e-101,7.25198518091984e-214
"Gm11410",5.00870734833614e-55,1.70585592200689,0.533,0.133,1.41270590759821e-50,4.34436571056339e-97,1.99809145987132,0.945,0.315,1.2253283486644e-92,5.15161518336284e-212,1.99912646352539,0.935,0.298,1.45301306246749e-207,5.00870734833614e-55,1.54548455500886e-211
"mt-Nd2",3.25664276820274e-26,1.30767349134259,0.333,0.096,9.18536092771584e-22,3.37290496647014e-93,2.15244720385735,0.935,0.302,9.51327845792904e-89,3.99190012277706e-210,2.16416162329087,0.985,0.354,1.12591542962927e-205,3.25664276820274e-26,1.19757003683313e-209
"Tyrobp",4.63864930336988e-97,-2.53961410205435,0.046,0.831,1.30833103601548e-92,4.91689855563755e-98,-2.66480080370634,0.041,0.885,1.38681123761757e-93,2.75805711889031e-202,-2.70523978000643,0.03,0.878,7.77910010383011e-198,4.63864930336988e-97,8.27417135667095e-202
"Mef2c",1.35563814886662e-16,1.15551610861634,0.188,0.049,3.8235773988783e-12,2.92362917172152e-48,1.37706453898437,0.41,0.082,8.24609607884054e-44,8.29149371209467e-202,1.55059831067107,0.497,0.044,2.3386158014963e-197,1.35563814886662e-16,2.48744811362841e-201
"Slc45a3",2.593891474404e-146,1.36764979090012,0.582,0.028,7.31607090355648e-142,1.03247359899847e-178,1.2002111265681,0.677,0.029,2.91209178597518e-174,3.05484698509368e-201,0.884984322882169,0.403,0.019,8.61619592145672e-197,2.593891474404e-146,9.16454095528095e-201
"Snn",1.44716841571845e-40,0.785040667335535,0.169,0.007,4.08173851653388e-36,3.4938957982972e-90,0.803988451216999,0.332,0.01,9.85453309909725e-86,3.44195843798608e-197,0.945147920216242,0.345,0.009,9.70804377433975e-193,1.44716841571845e-40,1.03258753139583e-196
"mt-Nd4",5.17905478117809e-39,1.85553374365979,0.575,0.226,1.46075240103128e-34,4.89640122785986e-87,2.03888531168524,0.949,0.397,1.38102996631787e-82,7.07964609360123e-194,1.97565546548512,0.991,0.432,1.99681418070023e-189,5.17905478117809e-39,2.12389382808035e-193
"Cebpb",5.75509477524253e-96,-3.53423097731529,0.119,0.841,1.62322448135716e-91,3.82868186582747e-86,-3.42457617471991,0.276,0.881,1.07987972025664e-81,6.084906964553e-193,-3.34504499620216,0.106,0.875,1.71624800935217e-188,3.82868186582747e-86,1.82547208936588e-192
"Dusp1",5.78198098267067e-85,-2.85848289721057,0.126,0.819,1.63080773616226e-80,1.10985788924803e-81,-2.99976270540789,0.429,0.896,3.13035417662408e-77,4.84187344518437e-190,-3.33659081410673,0.265,0.903,1.36565040521425e-185,1.10985788924803e-81,1.45256203355532e-189
"Ptprcap",1.54753412390723e-55,1.27360935568149,0.375,0.053,4.36481999648034e-51,4.57315024493773e-70,1.06913450263186,0.502,0.073,1.28985702658469e-65,1.10785007796168e-189,1.27780433718517,0.549,0.065,3.12469114489093e-185,1.54753412390723e-55,3.32355023388503e-189
