"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Pdlim1",0.0123702262375973,0.694387462400898,0.25,0.032,1,0.0897708656030606,0.621839951565354,0.25,0.059,1,0.0897708656030606,0.0245874299780253
"Rpl19-ps11",0.0452829137983075,1.06783362384903,0.75,0.399,1,0.0126274189567578,0.931079140273212,1,0.433,1,0.0452829137983075,0.0250953862040061
"Usp22",0.0126277755723719,1.01030091578428,0.25,0.032,1,0.131867416787322,0.359852899131656,0.25,0.066,1,0.131867416787322,0.0250960904288375
"Cebpb",0.0237108401728063,-3.40882005391689,0.25,0.726,1,0.0127115677175384,-3.33865826319548,0.25,0.773,1,0.0237108401728063,0.0252615514812393
"Msrb1",0.0242694309018193,-2.50566548897429,0,0.635,1,0.0128628426716127,-2.33628862541704,0,0.71,1,0.0242694309018193,0.0255602326216308
"S100a11",0.0131002672705247,-3.05895556172028,0,0.708,1,0.0537751322478763,-2.50188342072861,1,0.79,1,0.0537751322478763,0.0260289175384902
"Kmt2a",0.0975493262209642,0.945270120058387,0.25,0.06,1,0.0134723562246965,0.475656039568373,0.5,0.105,1,0.0975493262209642,0.0267632080671478
"S100a6",0.0136143170982593,-4.79779800388193,0,0.704,1,0.237438249333387,-1.73106940381952,0.75,0.716,1,0.237438249333387,0.0270432845664666
"mt-Co1",0.0286476334927872,0.537573549979414,1,0.412,1,0.0144452177989813,1.36669549383427,1,0.651,1,0.0286476334927872,0.0286817712807026
"Rbmx",0.014841015943946,0.80379905603129,1,0.484,1,0.0690228768480433,0.545095697912278,1,0.477,1,0.0690228768480433,0.0294617761336435
"Ccl6",0.0317802299923682,-2.80994039717831,0,0.601,1,0.0149227632993805,-2.92211870759898,0,0.693,1,0.0317802299923682,0.0296228377342717
"Tmem245",0.387320371295523,0.458638653406486,0.5,0.38,1,0.0150390017486249,0.308258367112926,1,0.268,1,0.387320371295523,0.0298518319236547
"Il1b",0.0232091142875431,-3.49200668789003,0,0.641,1,0.0151889046661034,-3.88521448713566,0,0.691,1,0.0232091142875431,0.0301471065072507
"Minos1",0.20262536670481,1.54670334530977,0.25,0.089,1,0.0152158505395239,0.80713063985693,0.5,0.13,1,0.20262536670481,0.0302001789714066
