"gene","round2_20151217_p_val","round2_20151217_avg_log2FC","round2_20151217_pct.1","round2_20151217_pct.2","round2_20151217_p_val_adj","round1_20151128_p_val","round1_20151128_avg_log2FC","round1_20151128_pct.1","round1_20151128_pct.2","round1_20151128_p_val_adj","round3_20160313_p_val","round3_20160313_avg_log2FC","round3_20160313_pct.1","round3_20160313_pct.2","round3_20160313_p_val_adj","max_pval","minimump_p_val"
"Ifi30",3.08049718607099e-33,0.762477428826621,0.331,0.058,8.68854231331324e-29,3.47284965055646e-50,0.771256849493705,0.5,0.06,9.7951724393945e-46,5.54219574206065e-193,0.976898880633214,0.592,0.058,1.56317630904821e-188,3.08049718607099e-33,1.66265872261822e-192
"Ctsc",4.47395198888518e-14,0.999264484881264,0.135,0.024,1.26187815846507e-09,9.43127910257381e-45,1.072540041277,0.418,0.047,2.66009227088094e-40,3.55020597433006e-181,1.27807247294025,0.547,0.052,1.00133559505979e-176,4.47395198888518e-14,1.06506179229902e-180
"Sdc3",4.86836493729651e-43,0.470607521050495,0.163,0.004,1.37312233056448e-38,4.98936412088065e-53,0.437844534307631,0.286,0.014,1.40725015029439e-48,1.03617817757045e-180,0.416345128279171,0.283,0.003,2.92254054983747e-176,4.86836493729651e-43,3.10853453271141e-180
"Atp6v0d2",5.45415718152817e-41,0.508254329565282,0.152,0.003,1.53834503305002e-36,5.61136048655215e-20,0.316126422201596,0.112,0.006,1.58268422523203e-15,8.73818786316717e-180,0.61542660355014,0.263,0.001,2.4646058868063e-175,5.61136048655215e-20,2.62145635895015e-179
"Axl",2.37148926976371e-50,0.952693366763216,0.253,0.017,6.68878548536854e-46,1.00302088479468e-26,0.527999823490951,0.245,0.027,2.82902040556338e-22,1.87900409166603e-178,0.793597038577434,0.314,0.007,5.29973104054403e-174,1.00302088479468e-26,5.63701227499803e-178
"Tmcc3",1.34168437080704e-34,0.718472688132347,0.202,0.017,3.78422076786125e-30,1.1533503786599e-42,0.578441285985044,0.357,0.036,3.25302474301026e-38,3.93718235202551e-178,0.645562769113173,0.354,0.013,1.1104822823888e-173,1.34168437080704e-34,1.18115470560766e-177
"Cebpa",6.01219195052935e-61,0.852200464321315,0.287,0.015,1.6957387396468e-56,1.07613191911058e-40,0.391845039164377,0.337,0.032,3.03523007785139e-36,5.02430686389507e-178,0.680624528529286,0.433,0.027,1.4171057509616e-173,1.07613191911058e-40,1.50729205916856e-177
"Hpgd",5.18174813314206e-30,0.402768658483254,0.107,0.002,1.46151206095272e-25,5.9938818198312e-103,0.612834491392853,0.347,0.004,1.69057436728339e-98,7.68412189551226e-168,0.588719229084113,0.246,0.001,2.16730658062923e-163,5.18174813314206e-30,2.30523656865362e-167
"Mrc1",1.22573826994658e-26,0.442873916559599,0.118,0.006,3.45719479038433e-22,4.37900627558721e-22,0.386882021331899,0.153,0.012,1.23509872002937e-17,1.44483372598942e-165,0.64816715989358,0.246,0.001,4.07515352415316e-161,4.37900627558721e-22,4.33450117796819e-165
"Lmna",1.38440093587448e-58,0.897675718785459,0.27,0.014,3.90470283963397e-54,2.14682151117885e-12,0.290130241806563,0.163,0.028,6.05511007227993e-08,3.33098757205698e-162,0.678840492057324,0.312,0.01,9.39505044698671e-158,2.14682151117885e-12,9.99296271617081e-162
"Idh1",3.8598081564117e-25,0.81751652069746,0.157,0.015,1.08865889051592e-20,1.09931060580861e-62,1.13420888747126,0.408,0.028,3.10060556368319e-58,1.62673684642487e-161,0.892581539143578,0.436,0.034,4.58821127534133e-157,3.8598081564117e-25,4.88021053927465e-161
"Lpl",1.56733497680236e-36,1.49955670637007,0.298,0.046,4.42066830207106e-32,6.54036557901166e-23,0.754850467448477,0.316,0.055,1.84471011156024e-18,4.22748833955563e-157,1.85966755869215,0.382,0.026,1.19236308617166e-152,6.54036557901166e-23,1.2682465018667e-156
"Dbi",1.19478170850913e-40,0.603972287009688,0.253,0.024,3.36988180885001e-36,1.45148629922611e-63,0.521827482042049,0.51,0.047,4.09391710696724e-59,2.2000063733363e-156,0.604886003949037,0.399,0.027,6.20511797599503e-152,1.19478170850913e-40,6.6000191200089e-156
"Vim",1.40847166065662e-57,1.41768679992907,0.601,0.129,3.97259431888199e-53,4.94195327591703e-38,1.65174776681536,0.765,0.242,1.3938779214724e-33,3.61064592067634e-156,2.00653654977777,0.813,0.238,1.01838268192676e-151,4.94195327591703e-38,1.08319377620291e-155
"Fcgrt",5.26038382751888e-48,0.701802112161203,0.213,0.01,1.4836912585517e-43,2.51967620818114e-36,0.305859740053419,0.204,0.011,7.10674674517491e-32,3.19365196806912e-149,0.513979945808991,0.3,0.011,9.00769537593894e-145,2.51967620818114e-36,9.58095590420735e-149
"Itgb1",1.11306774231686e-24,0.67797557762869,0.202,0.028,3.13940756720469e-20,5.56659886501489e-47,0.775396814899501,0.5,0.063,1.57005920987745e-42,2.29385415669118e-146,0.801795030980861,0.527,0.062,6.46981564894747e-142,1.11306774231686e-24,6.88156247007335e-146
"Smpdl3a",1.1911022157245e-12,0.639358109687683,0.169,0.041,3.35950379945095e-08,4.15005803673448e-56,0.920970280449,0.622,0.09,1.17052386926096e-51,1.02912470622347e-143,0.954171883503208,0.586,0.091,2.9026462339033e-139,1.1911022157245e-12,3.08737411867042e-143
"Cx3cr1",1.87909664122632e-27,0.408038578033207,0.152,0.012,5.29999207657883e-23,1.58569627988799e-51,0.536450871170228,0.418,0.04,4.47245635742406e-47,2.19465595050382e-143,0.548923494604936,0.3,0.013,6.19002710839603e-139,1.87909664122632e-27,6.58396785151133e-143
"Tifab",1.34141549299911e-42,0.496856783683731,0.202,0.011,3.78346239800398e-38,3.10683723207239e-30,0.343218961288278,0.245,0.023,8.76283441306017e-26,2.43811998009795e-139,0.364742750513601,0.235,0.004,6.87671740386626e-135,3.10683723207239e-30,7.3143599402937e-139
