"BaselineProp.clusters","BaselineProp.Freq","PropMean.h","PropMean.t","PropRatio","Tstatistic","P.Value","FDR"
"pDC",0.0038898299767865,0.00143244500921733,0.0057345601509475,0.249791609384489,-2.56043368619378,0.0226541412029902,0.093795017805642
"Neutrophils",0.503293807641634,0.660875646555581,0.35759409299099,1.84811678802601,2.47358439743527,0.0267985765158977,0.093795017805642
"MoMacDC",0.15038584603802,0.0901120398045568,0.206343379383463,0.436709140238975,-1.84271058956155,0.0866460257114416,0.193446228989142
"T cells",0.124286341677646,0.0736394143861973,0.161893458773874,0.454863432679228,-1.70360067533854,0.11054070227951,0.193446228989142
"Basophils",0.00213313256791518,0.00152694503606393,0.00274954112644773,0.555345407048582,-1.14786763029543,0.270260127684381,0.360223802235657
"B cells",0.176485350398394,0.136167648058991,0.222981862538298,0.61066692379791,-1.05619939594245,0.308763259059134,0.360223802235657
"NK cells",0.0395256916996047,0.0362458611493924,0.0427031050359799,0.848787485566988,-0.549784039810605,0.591130850661498,0.591130850661498
